etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.921784	0.0100555	 0.010565
-2.1	-1.6	10	13	0.918392	0.00613373	 0.00647721
-1.6	-1.2	10	13	0.930952	0.00725753	 0.00756101
-1.2	-0.8	10	13	0.919572	0.00927375	 0.00976857
-0.8	-0.3	10	13	0.945433	0.00878244	 0.00931572
-0.3	-0.2	10	13	0.806001	0.0444814	 0.044802
-0.2	0.2	10	13	0.906109	0.0149584	 0.0160949
0.2	0.3	10	13	0.798211	0.0436281	 0.0453212
0.3	0.8	10	13	0.946256	0.00849944	 0.0088718
0.8	1.2	10	13	0.937471	0.00680312	 0.00740978
1.2	1.6	10	13	0.930376	0.00757213	 0.00805692
1.6	2.1	10	13	0.922491	0.00690817	 0.00757093
2.1	2.4	10	13	0.893414	0.0106168	 0.0108296
-2.4	-2.1	13	16	0.91571	0.00799612	 0.0084655
-2.1	-1.6	13	16	0.913779	0.00521768	 0.00542224
-1.6	-1.2	13	16	0.943829	0.005296	 0.00558078
-1.2	-0.8	13	16	0.934525	0.00538621	 0.00566994
-0.8	-0.3	13	16	0.942916	0.00510208	 0.00541979
-0.3	-0.2	13	16	0.81117	0.0319424	 0.0340296
-0.2	0.2	13	16	0.919661	0.00872457	 0.00892968
0.2	0.3	13	16	0.789712	0.0254104	 0.0273691
0.3	0.8	13	16	0.935125	0.0053362	 0.00560246
0.8	1.2	13	16	0.936245	0.00610007	 0.00645068
1.2	1.6	13	16	0.941977	0.00862595	 0.00491337
1.6	2.1	13	16	0.929531	0.00467056	 0.00484831
2.1	2.4	13	16	0.938725	0.0071432	 0.00751776
-2.4	-2.1	16	20	0.924045	0.00522041	 0.00539676
-2.1	-1.6	16	20	0.924745	0.00549295	 0.00349371
-1.6	-1.2	16	20	0.948023	0.00313267	 0.0032242
-1.2	-0.8	16	20	0.94254	0.00331584	 0.00344152
-0.8	-0.3	16	20	0.946482	0.00322725	 0.00329752
-0.3	-0.2	16	20	0.796643	0.0146357	 0.0151725
-0.2	0.2	16	20	0.933592	0.00519435	 0.00583788
0.2	0.3	16	20	0.795405	0.0134448	 0.0167075
0.3	0.8	16	20	0.949043	0.00333658	 0.00345486
0.8	1.2	16	20	0.932541	0.00311955	 0.00321826
1.2	1.6	16	20	0.950594	0.00311955	 0.00321826
1.6	2.1	16	20	0.92942	0.00321265	 0.00329473
2.1	2.4	16	20	0.922244	0.00580044	 0.00646636
-2.4	-2.1	20	25	0.92441	0.00305513	 0.00313813
-2.1	-1.6	20	25	0.928672	0.00237829	 0.00223073
-1.6	-1.2	20	25	0.954133	0.00220819	 0.00228768
-1.2	-0.8	20	25	0.946885	0.00230672	 0.00227005
-0.8	-0.3	20	25	0.94665	0.00189972	 0.00186578
-0.3	-0.2	20	25	0.802177	0.00779321	 0.0079552
