etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.799552	0.0101795	 0.0100498
-2.1	-1.6	10	13	0.776908	0.00844267	 0.00823232
-1.6	-1.2	10	13	0.75386	0.00938446	 0.0095323
-1.2	-0.8	10	13	0.694595	0.0100799	 0.0099766
-0.8	-0.3	10	13	0.674107	0.0123265	 0.0120596
-0.3	-0.2	10	13	0.632597	0.0343792	 0.0325643
-0.2	0.2	10	13	0.633162	0.0185643	 0.0192381
0.2	0.3	10	13	0.670619	0.0337699	 0.0343822
0.3	0.8	10	13	0.667948	0.0123959	 0.0123318
0.8	1.2	10	13	0.70807	0.0111132	 0.0109537
1.2	1.6	10	13	0.727509	0.00867348	 0.00881862
1.6	2.1	10	13	0.793277	0.00784949	 0.00792965
2.1	2.4	10	13	0.793744	0.00985951	 0.00991379
-2.4	-2.1	13	16	0.847953	0.00788471	 0.00787656
-2.1	-1.6	13	16	0.833622	0.00615027	 0.00634377
-1.6	-1.2	13	16	0.804526	0.00718679	 0.00731265
-1.2	-0.8	13	16	0.759166	0.00762206	 0.00770934
-0.8	-0.3	13	16	0.732321	0.00797906	 0.00792394
-0.3	-0.2	13	16	0.69524	0.0203018	 0.0192526
-0.2	0.2	13	16	0.663365	0.0107508	 0.0108316
0.2	0.3	13	16	0.666858	0.021742	 0.0216569
0.3	0.8	13	16	0.725723	0.00750558	 0.00746818
0.8	1.2	13	16	0.738477	0.00763952	 0.00758816
1.2	1.6	13	16	0.790748	0.0071297	 0.00712586
1.6	2.1	13	16	0.830681	0.00613543	 0.00605174
2.1	2.4	13	16	0.849053	0.00811825	 0.00840862
-2.4	-2.1	16	20	0.88699	0.00506466	 0.0053555
-2.1	-1.6	16	20	0.877301	0.00392423	 0.00420041
-1.6	-1.2	16	20	0.851573	0.00431765	 0.00428234
-1.2	-0.8	16	20	0.807801	0.00483953	 0.00486994
-0.8	-0.3	16	20	0.791062	0.0043339	 0.00435183
-0.3	-0.2	16	20	0.748782	0.0136498	 0.0128789
-0.2	0.2	16	20	0.750595	0.00580342	 0.00583105
0.2	0.3	16	20	0.751261	0.0115015	 0.0116174
0.3	0.8	16	20	0.792742	0.00449336	 0.00446836
0.8	1.2	16	20	0.809862	0.00501984	 0.00503897
