etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.98757	0.0048764	 0.00527679
-2.1	-1.6	10	13	0.993005	0.00282705	 0.00306357
-1.6	-1.2	10	13	0.990851	0.00283154	 0.00310832
-1.2	-0.8	10	13	0.972672	0.00435911	 0.00462891
-0.8	-0.3	10	13	0.985537	0.00405194	 0.00438177
-0.3	-0.2	10	13	0.880955	0.02214	 0.0229508
-0.2	0.2	10	13	0.971565	0.00745893	 0.00823228
0.2	0.3	10	13	0.893645	0.0247963	 0.0250306
0.3	0.8	10	13	0.981725	0.00459581	 0.00497641
0.8	1.2	10	13	0.975367	0.00448989	 0.00477284
1.2	1.6	10	13	0.990008	0.00305802	 0.00330307
1.6	2.1	10	13	0.989	0.00321878	 0.00343464
2.1	2.4	10	13	0.987608	0.00436519	 0.00472845
-2.4	-2.1	13	16	0.98993	0.00299592	 0.00323944
-2.1	-1.6	13	16	0.992633	0.00191733	 0.0020751
-1.6	-1.2	13	16	0.993452	0.00189138	 0.00205492
-1.2	-0.8	13	16	0.968483	0.00313537	 0.00327707
-0.8	-0.3	13	16	0.978119	0.00221762	 0.00235865
-0.3	-0.2	13	16	0.918231	0.0108136	 0.0115963
-0.2	0.2	13	16	0.975191	0.00423769	 0.00450782
0.2	0.3	13	16	0.880642	0.0423291	 0.0141101
0.3	0.8	13	16	0.985907	0.0024584	 0.00260756
0.8	1.2	13	16	0.975061	0.00297265	 0.00313361
1.2	1.6	13	16	0.996941	0.00180613	 0.00199152
1.6	2.1	13	16	0.991118	0.00215377	 0.0023176
2.1	2.4	13	16	0.985659	0.00360349	 0.00386634
-2.4	-2.1	16	20	0.983618	0.00216165	 0.00228299
-2.1	-1.6	16	20	0.994143	0.00103127	 0.00110971
-1.6	-1.2	16	20	0.995061	0.00112095	 0.00120939
-1.2	-0.8	16	20	0.974529	0.00197476	 0.00204013
-0.8	-0.3	16	20	0.989699	0.00114434	 0.00120816
-0.3	-0.2	16	20	0.896695	0.00689386	 0.00722245
-0.2	0.2	16	20	0.974803	0.00190411	 0.00197641
0.2	0.3	16	20	0.896937	0.00803287	 0.00829813
0.3	0.8	16	20	0.990173	0.00119646	 0.00126208
0.8	1.2	16	20	0.971555	0.0019775	 0.00205877
1.2	1.6	16	20	0.993244	0.00116855	 0.00125538
1.6	2.1	16	20	0.992341	0.00121965	 0.00129039
2.1	2.4	16	20	0.98691	0.00198309	 0.00209602
-2.4	-2.1	20	25	0.981682	0.00147418	 0.00153361
-2.1	-1.6	20	25	0.991647	0.000740244	 0.000769171
-1.6	-1.2	20	25	0.994343	0.000715704	 0.000755978
-1.2	-0.8	20	25	0.975074	0.00138123	 0.00145369
-0.8	-0.3	20	25	0.99068	0.000670349	 0.00069365
-0.3	-0.2	20	25	0.901227	0.00411913	 0.00414366
-0.2	0.2	20	25	0.981192	0.00105841	 0.00107441
0.2	0.3	20	25	0.88988	0.00437422	 0.00444656
0.3	0.8	20	25	0.989199	0.000724674	 0.000747384
0.8	1.2	20	25	0.975205	0.0012826	 0.00132278
1.2	1.6	20	25	0.99415	0.000746886	 0.000787763
1.6	2.1	20	25	0.991539	0.00075649	 0.000787948
2.1	2.4	20	25	0.982773	0.00141157	 0.00147144
-2.4	-2.1	25	30	0.979765	0.00123281	 0.00126622
-2.1	-1.6	25	30	0.991315	0.000588606	 0.000612259
-1.6	-1.2	25	30	0.995309	0.000518591	 0.000538638
-1.2	-0.8	25	30	0.977364	0.00101585	 0.00109555
-0.8	-0.3	25	30	0.990078	0.000510858	 0.000523639
-0.3	-0.2	25	30	0.909959	0.00285239	 0.00286989
-0.2	0.2	25	30	0.980855	0.00079067	 0.000801562
0.2	0.3	25	30	0.893895	0.00295183	 0.00297609
0.3	0.8	25	30	0.989242	0.000481244	 0.00048496
0.8	1.2	25	30	0.974587	0.000995344	 0.00100699
1.2	1.6	25	30	0.994253	0.000564075	 0.000587214
1.6	2.1	25	30	0.992158	0.000564174	 0.000581411
2.1	2.4	25	30	0.981231	0.00115676	 0.00119141
-2.4	-2.1	30	40	0.978437	0.00070149	 0.000709161
-2.1	-1.6	30	40	0.99066	0.000261916	 0.000268397
-1.6	-1.2	30	40	0.995114	0.000261916	 0.000268397
-1.2	-0.8	30	40	0.975883	0.000467566	 0.000466659
-0.8	-0.3	30	40	0.990436	0.000249051	 0.000251068
-0.3	-0.2	30	40	0.901497	0.00155713	 0.00154432
-0.2	0.2	30	40	0.980678	0.000372743	 0.000371314
