etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	14	0	0	 0
-2.1	-1.6	10	14	0	0	 0
-1.6	-1.2	10	14	0	0	 0
-1.2	-0.8	10	14	0	0	 0
-0.8	-0.3	10	14	0	0	 0
-0.3	0.3	10	14	0	0	 0
0.3	0.8	10	14	0	0	 0
0.8	1.2	10	14	0	0	 0
1.2	1.6	10	14	0	0	 0
1.6	2.1	10	14	0	0	 0
2.1	2.4	10	14	0	0	 0
-2.4	-2.1	14	17	0	0	 0
-2.1	-1.6	14	17	0	0	 0
-1.6	-1.2	14	17	0	0	 0
-1.2	-0.8	14	17	0	0	 0
-0.8	-0.3	14	17	0	0	 0
-0.3	0.3	14	17	0	0	 0
0.3	0.8	14	17	0	0	 0
0.8	1.2	14	17	0	0	 0
1.2	1.6	14	17	0	0	 0
1.6	2.1	14	17	0	0	 0
2.1	2.4	14	17	0	0	 0
-2.4	-2.1	17	20	0.0564856	0.0232997	 0.018477
-2.1	-1.6	17	20	0.011557	0.0105171	 0.00707052
-1.6	-1.2	17	20	0.0161811	0.0112114	 0.00770299
-1.2	-0.8	17	20	0	0	 0
-0.8	-0.3	17	20	0.0229507	0.0116428	 0.00873185
-0.3	0.3	17	20	0	0	 0
0.3	0.8	17	20	0.0163493	0.0118409	 0.00866549
0.8	1.2	17	20	0.0268505	0.0137198	 0.010184
1.2	1.6	17	20	0.0195348	0.0113023	 0.00816093
1.6	2.1	17	20	0.0123666	0.00847912	 0.00582143
2.1	2.4	17	20	0.0335446	0.0195117	 0.0140158
-2.4	-2.1	20	22	0.804803	0.0428177	 0.0447558
-2.1	-1.6	20	22	0.760739	0.0303061	 0.0313515
-1.6	-1.2	20	22	0.805829	0.030916	 0.0324967
-1.2	-0.8	20	22	0.816119	0.0309325	 0.0326991
-0.8	-0.3	20	22	0.91362	0.0202512	 0.0228662
-0.3	0.3	20	22	0.753115	0.0268764	 0.0286881
0.3	0.8	20	22	0.850915	0.0269983	 0.0263367
0.8	1.2	20	22	0.800377	0.0317494	 0.0336826
1.2	1.6	20	22	0.810752	0.0308353	 0.0322042
1.6	2.1	20	22	0.787006	0.0266783	 0.0283713
2.1	2.4	20	22	0.637499	0.0497914	 0.0503909
-2.4	-2.1	22	30	0.835987	0.0136718	 0.0145648
-2.1	-1.6	22	30	0.849211	0.0101605	 0.0104182
-1.6	-1.2	22	30	0.882849	0.00980535	 0.010162
-1.2	-0.8	22	30	0.833659	0.0112437	 0.0113406
-0.8	-0.3	22	30	0.936776	0.00648099	 0.00662908
-0.3	0.3	22	30	0.850936	-0	 -0
0.3	0.8	22	30	0.92896	0.00648057	 0.00667427
0.8	1.2	22	30	0.845883	0.00982926	 0.0103256
1.2	1.6	22	30	0.861654	0.0102868	 0.0106593
1.6	2.1	22	30	0.833377	0.010578	 0.011039
2.1	2.4	22	30	0.77657	0.0156475	 0.0162634
-2.4	-2.1	30	50	0.874298	0.0064504	 0.00656361
-2.1	-1.6	30	50	0.878708	0.00402445	 0.00402508
-1.6	-1.2	30	50	0.91123	0.00335205	 0.00335205
-1.2	-0.8	30	50	0.83881	0.00411024	 0.00411917
-0.8	-0.3	30	50	0.954723	0.00209739	 0.00213157
-0.3	0.3	30	50	0.888682	0.00278082	 0.00269541
0.3	0.8	30	50	0.956505	0.00206321	 0.00210788
0.8	1.2	30	50	0.836298	0.00428959	 0.00430883
1.2	1.6	30	50	0.897653	0.00364566	 0.00364891
1.6	2.1	30	50	0.871348	0.00405095	 0.00409774
2.1	2.4	30	50	0.826696	0.00694219	 0.00697267
-2.4	-2.1	50	80	0.868463	0.0127445	 0.0134707
-2.1	-1.6	50	80	0.884759	0.00934238	 0.00975916
-1.6	-1.2	50	80	0.936771	0.00709981	 0.0075603
-1.2	-0.8	50	80	0.821895	0.010025	 0.0102614
-0.8	-0.3	50	80	0.956271	0.00418638	 0.0044694
-0.3	0.3	50	80	0.889952	0.00625721	 0.00645101
0.3	0.8	50	80	0.963202	0.00440296	 0.00471755
0.8	1.2	50	80	0.829	0.0106367	 0.0104022
1.2	1.6	50	80	0.905685	0.00813319	 0.00844561
1.6	2.1	50	80	0.868804	0.00930959	 0.00944876
2.1	2.4	50	80	0.833675	0.0182563	 0.0187668
-2.4	-2.1	80	200	0.859818	0.0454937	 0.0522435
-2.1	-1.6	80	200	0.869687	0.0246373	 0.0277033
-1.6	-1.2	80	200	0.87005	0.0228002	 0.0254725
-1.2	-0.8	80	200	0.860899	0.0219073	 0.0241021
-0.8	-0.3	80	200	0.980432	0.00717898	 0.00918751
-0.3	0.3	80	200	0.904537	0.0161779	 0.0172353
0.3	0.8	80	200	0.948602	0.0117577	 0.0137343
0.8	1.2	80	200	0.833919	0.025089	 0.0273692
1.2	1.6	80	200	0.880141	0.0222634	 0.0250689
1.6	2.1	80	200	0.820617	0.0275224	 0.0298991
2.1	2.4	80	200	0.857238	0.0384295	 0.0452041
