etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	12	0.662717	0.0318054	 0.0310346
-2.1	-1.6	10	12	0.739247	0.0250985	 0.0246161
-1.6	-1.2	10	12	0.717399	0.0292931	 0.0285201
-1.2	-0.8	10	12	0.64859	0.0350546	 0.0337255
-0.8	-0.3	10	12	0.70171	0.0580256	 0.0528833
-0.3	0.3	10	12	0.59381	0.124362	 0.0770163
0.3	0.8	10	12	0.629706	0.0521628	 0.0479061
0.8	1.2	10	12	0.692426	0.0403409	 0.0382883
1.2	1.6	10	12	0.743658	0.0335523	 0.0327089
1.6	2.1	10	12	0.738502	0.0239133	 0.0237897
2.1	2.4	10	12	0.583771	0.0343286	 0.0332475
-2.4	-2.1	12	14	0.699497	0.0243827	 0.0243246
-2.1	-1.6	12	14	0.759308	0.0187099	 0.0186959
-1.6	-1.2	12	14	0.780081	0.0206678	 0.0205603
-1.2	-0.8	12	14	0.679641	0.0220503	 0.0218176
-0.8	-0.3	12	14	0.651697	0.028405	 0.0277891
-0.3	0.3	12	14	0.630792	0.0369063	 0.0350965
0.3	0.8	12	14	0.610031	0.028289	 0.0276811
0.8	1.2	12	14	0.698667	0.023771	 0.0234192
1.2	1.6	12	14	0.80939	0.000950154	 0.000950154
1.6	2.1	12	14	0.740157	0.0180632	 0.0181374
2.1	2.4	12	14	0.676252	0.0261876	 0.0260587
-2.4	-2.1	14	16	0.709794	0.0202471	 0.0201613
-2.1	-1.6	14	16	0.780497	0.0151103	 0.0152412
-1.6	-1.2	14	16	0.767383	0.0168666	 0.0170633
-1.2	-0.8	14	16	0.728975	0.00010819	 0.00010819
-0.8	-0.3	14	16	0.700192	0.0208452	 0.020837
-0.3	0.3	14	16	0.668875	0.0251619	 0.0245257
0.3	0.8	14	16	0.733275	0.020687	 0.0204854
0.8	1.2	14	16	0.763898	0.000905238	 0.000905238
1.2	1.6	14	16	0.775733	0.0166865	 0.016782
1.6	2.1	14	16	0.794051	0.015083	 0.015164
2.1	2.4	14	16	0.737855	0.0216941	 0.0217017
-2.4	-2.1	16	18	0.765522	0.0163573	 0.0165221
-2.1	-1.6	16	18	0.805454	0.0120124	 0.0121352
-1.6	-1.2	16	18	0.843145	0.0128143	 0.0129954
-1.2	-0.8	16	18	0.788083	0.0138631	 0.0139617
-0.8	-0.3	16	18	0.754651	0.0153764	 0.0152866
-0.3	0.3	16	18	0.681576	0.0172152	 0.0171627
0.3	0.8	16	18	0.721073	0.0144398	 0.0144456
0.8	1.2	16	18	0.746027	0.000714994	 0.000714994
1.2	1.6	16	18	0.817279	0.0130618	 0.0132132
1.6	2.1	16	18	0.815348	0.0120199	 0.0120199
2.1	2.4	16	18	0.754093	0.0173522	 0.0175692
-2.4	-2.1	18	20	0.828203	0.0128128	 0.0129268
-2.1	-1.6	18	20	0.842691	0.000545142	 0.000545142
-1.6	-1.2	18	20	0.847778	0.010076	 0.0102449
-1.2	-0.8	18	20	0.809178	0.0108778	 0.0110247
-0.8	-0.3	18	20	0.799433	0.0104602	 0.0105375
-0.3	0.3	18	20	0.74812	0.0120436	 0.0120844
0.3	0.8	18	20	0.787318	0.0109211	 0.0110005
0.8	1.2	18	20	0.807485	0.0111796	 0.0112741
1.2	1.6	18	20	0.85252	0.0103693	 0.0105043
1.6	2.1	18	20	0.849128	0.00952011	 0.00965207
2.1	2.4	18	20	0.796896	0.0129238	 0.013057
-2.4	-2.1	20	22	0.846914	0.0104341	 0.0106126
-2.1	-1.6	20	22	0.854671	0.00739227	 0.00750066
-1.6	-1.2	20	22	0.863061	0.00799043	 0.00815068
-1.2	-0.8	20	22	0.862633	0.00827571	 0.00827571
-0.8	-0.3	20	22	0.818477	0.0079918	 0.00808404
-0.3	0.3	20	22	0.785503	0.00846162	 0.00852265
0.3	0.8	20	22	0.817538	0.00799558	 0.00807259
0.8	1.2	20	22	0.850679	0.00861833	 0.00874807
1.2	1.6	20	22	0.864611	0.00806349	 0.00818283
1.6	2.1	20	22	0.872623	0.00715989	 0.00730327
2.1	2.4	20	22	0.843578	0.010964	 0.01127
-2.4	-2.1	22	24	0.842348	0.00876985	 0.0090053
-2.1	-1.6	22	24	0.891368	0.00596031	 0.00606487
-1.6	-1.2	22	24	0.904413	0.00667006	 0.00679905
-1.2	-0.8	22	24	0.881777	0.00666764	 0.00677737
-0.8	-0.3	22	24	0.847222	0.00624112	 0.00631998
-0.3	0.3	22	24	0.823957	0.00605853	 0.00608868
0.3	0.8	22	24	0.853198	0.00621462	 0.00629099
0.8	1.2	22	24	0.862751	0.00722376	 0.00732415
1.2	1.6	22	24	0.867339	8.68008e-06	 8.68008e-06
1.6	2.1	22	24	0.891453	0.00599291	 0.0060966
2.1	2.4	22	24	0.84958	0.00901678	 0.00918848
-2.4	-2.1	24	26	0.870336	0.00775852	 0.00792876
-2.1	-1.6	24	26	0.912623	0.004978	 0.00508892
-1.6	-1.2	24	26	0.908322	0.00580223	 0.00591767
-1.2	-0.8	24	26	0.87896	0.00607531	 0.00618822
-0.8	-0.3	24	26	0.86785	0.00530949	 0.00537304
-0.3	0.3	24	26	0.840187	0.00466914	 0.00471456
0.3	0.8	24	26	0.863446	0.00518655	 0.00525091
0.8	1.2	24	26	0.882837	0.00607018	 0.0062014
1.2	1.6	24	26	0.886565	0.00594646	 0.00603955
1.6	2.1	24	26	0.907484	0.00516186	 0.00525975
2.1	2.4	24	26	0.885132	0.00754767	 0.00771672
-2.4	-2.1	26	30	0.888472	0.0045817	 0.00466037
-2.1	-1.6	26	30	0.926736	0.00290861	 0.00295132
-1.6	-1.2	26	30	0.916797	0.00340065	 0.00345275
-1.2	-0.8	26	30	0.90509	0.00338767	 0.00342684
-0.8	-0.3	26	30	0.892732	0.00285243	 0.00287413
-0.3	0.3	26	30	0.882323	0.00241515	 0.00243227
0.3	0.8	26	30	0.898206	0.00278933	 0.00281084
0.8	1.2	26	30	0.902	0.00338572	 0.00342911
1.2	1.6	26	30	0.919259	0.00338392	 0.00342202
1.6	2.1	26	30	0.921664	0.00297673	 0.00302491
2.1	2.4	26	30	0.90068	0.00443485	 0.00452487
-2.4	-2.1	30	35	0.9217	0.00312439	 0.00316137
-2.1	-1.6	30	35	0.946843	0.00198337	 0.00200987
-1.6	-1.2	30	35	0.940061	0.00223257	 0.00226764
-1.2	-0.8	30	35	0.927727	0.00223174	 0.00225506
-0.8	-0.3	30	35	0.927432	0.00171218	 0.00172879
